scenario_name,ade_score,ade_rating,speed_smoothness,speed_smoothness_rating
crosswalks_01,9.0,SUCCESS,0.53,SUCCESS
crosswalks_02,47.41,FAILURE,0.0,SUCCESS
crosswalks_03,7.06,SUCCESS,0.0,SUCCESS
crosswalks_04,26.4,FAILURE,0.53,SUCCESS
crosswalks_05,1.89,SUCCESS,0.0,SUCCESS
crosswalks_06,3.86,SUCCESS,0.46,SUCCESS
crosswalks_07,1.0,SUCCESS,0.0,SUCCESS
crosswalks_08,18.52,FAILURE,0.52,SUCCESS
crosswalks_09,4.81,SUCCESS,0.65,SUCCESS
crosswalks_10,1.18,SUCCESS,0.49,SUCCESS
crosswalks_11,41.25,FAILURE,0.5,SUCCESS
crosswalks_12,3.5,SUCCESS,0.53,SUCCESS
crosswalks_13,2.18,SUCCESS,0.63,SUCCESS
crosswalks_14,4.21,SUCCESS,0.62,SUCCESS
crosswalks_15,65.45,FAILURE,0.0,SUCCESS
crosswalks_16,39.7,FAILURE,0.51,SUCCESS
crosswalks_17,8.13,SUCCESS,0.0,SUCCESS
crosswalks_18,40.16,FAILURE,0.31,SUCCESS
crosswalks_19,2.24,SUCCESS,0.49,SUCCESS
crosswalks_20,21.68,FAILURE,0.44,SUCCESS
crosswalks_21,1.65,SUCCESS,0.56,SUCCESS
crosswalks_22,7.36,SUCCESS,0.61,SUCCESS
crosswalks_23,3.04,SUCCESS,0.59,SUCCESS
crosswalks_24,2.65,SUCCESS,0.47,SUCCESS
crosswalks_25,7.47,SUCCESS,0.64,SUCCESS
crosswalks_26,13.12,FAILURE,0.46,SUCCESS
AVERAGE,14.80,0.65,0.41,1.00
