scenario_name,ade_score,ade_rating,speed_smoothness,speed_smoothness_rating
yielding_01,10.68,FAILURE,0.78,SUCCESS
yielding_02,29.91,FAILURE,0.45,SUCCESS
yielding_03,8.41,SUCCESS,0.56,SUCCESS
yielding_04,6.19,SUCCESS,0.45,SUCCESS
yielding_05,4.84,SUCCESS,0.55,SUCCESS
yielding_06,45.29,FAILURE,0.44,SUCCESS
yielding_07,2.93,SUCCESS,0.54,SUCCESS
yielding_08,9.35,SUCCESS,0.58,SUCCESS
yielding_09,44.05,FAILURE,0.0,SUCCESS
yielding_10,1.79,SUCCESS,0.63,SUCCESS
yielding_11,3.28,SUCCESS,0.52,SUCCESS
yielding_12,25.27,FAILURE,0.62,SUCCESS
yielding_13,4.49,SUCCESS,0.52,SUCCESS
yielding_14,0.96,SUCCESS,0.62,SUCCESS
yielding_15,12.32,FAILURE,0.15,SUCCESS
yielding_16,0.81,SUCCESS,0.49,SUCCESS
yielding_17,27.51,FAILURE,0.0,SUCCESS
yielding_18,1.7,SUCCESS,0.62,SUCCESS
yielding_19,2.94,SUCCESS,0.32,SUCCESS
yielding_20,55.1,FAILURE,0.0,SUCCESS
yielding_21,91.57,FAILURE,0.0,SUCCESS
AVERAGE,18.54,,0.42,,
